person_age,person_income,loan_amnt,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
34.0,79036.0,15000.0,11.01,0.19,655,Yes,0
35.0,51304.0,21000.0,8.47,0.41,683,No,1
34.0,61693.0,5400.0,13.16,0.09,682,No,0
24.0,96994.0,14000.0,13.52,0.14,691,Yes,0
23.0,63662.0,7500.0,10.38,0.12,690,No,0
36.0,75669.0,12000.0,16.89,0.16,725,No,0
32.0,66846.0,9000.0,13.79,0.13,709,Yes,0
27.0,35219.0,2600.0,7.74,0.07,615,Yes,0
34.0,28342.0,7000.0,6.72,0.25,657,Yes,0
28.0,93024.0,15000.0,12.21,0.16,628,Yes,0
23.0,94674.0,4600.0,7.66,0.05,677,No,0
30.0,83951.0,10000.0,9.99,0.12,648,Yes,0
29.0,151028.0,6400.0,12.87,0.04,639,Yes,0
40.0,36996.0,10654.0,11.21,0.29,680,No,1
37.0,132422.0,24000.0,11.36,0.18,660,Yes,0
27.0,105491.0,7200.0,9.63,0.07,628,Yes,0
25.0,22616.0,6500.0,11.01,0.29,649,No,1
39.0,71669.0,2500.0,18.78,0.03,656,No,1
50.0,73090.0,2000.0,7.49,0.03,605,No,0
30.0,51266.0,22539.0,8.69,0.44,550,Yes,0
24.0,39839.0,14000.0,14.17,0.35,676,No,1
28.0,55154.0,10458.0,15.4,0.19,653,Yes,0
27.0,39615.0,17725.0,11.49,0.45,637,No,1
34.0,137558.0,3000.0,6.39,0.02,593,Yes,0
26.0,43149.0,7000.0,10.99,0.16,670,Yes,0
26.0,105414.0,1000.0,11.89,0.01,658,Yes,0
32.0,145077.0,25000.0,10.99,0.17,623,Yes,0
22.0,52111.0,5000.0,12.42,0.1,653,No,0
22.0,38579.0,2700.0,6.91,0.07,585,Yes,0
23.0,90933.0,3000.0,11.01,0.03,595,Yes,0
23.0,53807.0,10000.0,10.46,0.19,520,Yes,0
28.0,61269.0,15000.0,14.91,0.24,712,No,1
28.0,91306.0,4000.0,8.4,0.04,719,Yes,0
26.0,77966.0,3237.0,7.21,0.04,669,No,0
28.0,44234.0,6000.0,14.36,0.14,615,Yes,0
28.0,53321.0,4000.0,12.69,0.08,658,No,0
26.0,60841.0,18000.0,13.11,0.3,651,No,1
24.0,49388.0,1000.0,7.49,0.02,668,Yes,0
33.0,58942.0,6000.0,11.01,0.1,658,No,0
36.0,29865.0,6200.0,10.68,0.21,531,Yes,0
33.0,78937.0,6000.0,7.47,0.08,589,Yes,0
27.0,48806.0,9600.0,11.01,0.2,706,No,1
23.0,53915.0,2000.0,19.13,0.04,534,No,1
43.0,87161.0,10000.0,11.01,0.11,743,Yes,0
29.0,68768.0,14750.0,11.01,0.21,699,Yes,0
24.0,63163.0,3500.0,6.76,0.06,552,Yes,0
25.0,102814.0,7688.0,11.09,0.07,654,No,0
29.0,66878.0,10000.0,11.36,0.15,654,Yes,0
23.0,33197.0,2000.0,13.61,0.06,629,Yes,0
30.0,83734.0,25000.0,14.09,0.3,645,No,1
23.0,258980.0,35000.0,14.79,0.14,618,Yes,0
25.0,94661.0,6000.0,15.62,0.06,596,No,1
34.0,48593.0,6000.0,5.99,0.12,609,No,0
22.0,54010.0,16000.0,16.35,0.3,572,No,1
26.0,109050.0,8000.0,14.27,0.07,638,Yes,0
22.0,25208.0,5000.0,11.86,0.2,673,Yes,0
24.0,31097.0,5611.0,11.78,0.18,630,Yes,0
25.0,85257.0,6000.0,6.37,0.07,657,No,0
30.0,76074.0,9000.0,15.05,0.12,683,Yes,0
28.0,124620.0,8818.0,7.52,0.07,573,Yes,0
27.0,47096.0,3160.0,12.63,0.07,654,Yes,0
25.0,111626.0,6000.0,9.64,0.05,657,Yes,0
36.0,78653.0,7000.0,11.49,0.09,608,Yes,0
22.0,58620.0,2000.0,6.76,0.03,632,Yes,0
39.0,432824.0,3000.0,11.48,0.01,650,No,0
34.0,75541.0,9100.0,13.48,0.12,672,No,0
24.0,42726.0,12000.0,7.17,0.28,683,No,1
23.0,49035.0,10000.0,12.84,0.2,538,Yes,0
26.0,64171.0,2800.0,6.03,0.04,665,No,0
27.0,103166.0,10000.0,13.23,0.1,616,No,0
60.0,59707.0,12000.0,13.79,0.2,764,No,0
29.0,77294.0,12000.0,12.42,0.16,687,No,1
34.0,67444.0,9000.0,7.74,0.13,659,Yes,0
33.0,109035.0,12000.0,7.1,0.11,670,No,0
32.0,81348.0,6437.0,11.0,0.08,641,Yes,0
25.0,59724.0,6000.0,11.01,0.1,677,No,0
26.0,72966.0,14650.0,12.61,0.2,585,Yes,0
35.0,106523.0,6000.0,15.37,0.06,610,No,0
33.0,157337.0,10000.0,14.61,0.06,715,No,1
23.0,56062.0,10000.0,13.16,0.18,692,Yes,0
23.0,79313.0,5000.0,7.43,0.06,636,Yes,0
27.0,61178.0,8800.0,12.29,0.14,588,Yes,0
22.0,35757.0,8875.0,15.68,0.25,711,No,1
45.0,42850.0,4000.0,13.49,0.09,633,Yes,0
28.0,68220.0,10000.0,8.49,0.15,674,No,1
23.0,79122.0,5000.0,13.47,0.06,636,Yes,0
24.0,42689.0,6000.0,13.98,0.14,642,No,0
22.0,58264.0,2800.0,12.53,0.05,650,Yes,0
34.0,35874.0,10800.0,9.63,0.3,723,No,1
54.0,151284.0,12000.0,6.62,0.08,688,No,0
24.0,84732.0,25000.0,10.11,0.3,634,Yes,0
26.0,79958.0,14000.0,6.62,0.18,633,No,0
23.0,73020.0,10750.0,7.88,0.15,619,No,0
22.0,136332.0,25000.0,12.53,0.18,648,Yes,0
25.0,142531.0,25000.0,11.12,0.18,695,Yes,0
21.0,43929.0,5000.0,14.27,0.11,618,No,1
22.0,57573.0,6850.0,10.65,0.12,668,No,1
23.0,138731.0,24000.0,20.0,0.17,613,No,1
31.0,24378.0,2500.0,9.62,0.1,646,No,1
31.0,36638.0,10000.0,13.48,0.27,524,No,1
27.0,64669.0,2500.0,9.91,0.04,646,No,0
28.0,110291.0,13453.0,13.29,0.12,631,Yes,0
27.0,60533.0,8400.0,11.01,0.14,646,No,1
43.0,118539.0,5000.0,14.29,0.04,632,Yes,0
22.0,52858.0,6000.0,7.67,0.11,539,Yes,0
34.0,193036.0,23000.0,6.91,0.12,695,No,0
27.0,108855.0,15600.0,12.69,0.14,635,Yes,0
24.0,47649.0,4000.0,11.01,0.08,663,No,1
25.0,181161.0,25000.0,10.37,0.14,619,Yes,0
24.0,87110.0,3200.0,13.92,0.04,591,Yes,0
42.0,62353.0,20000.0,8.49,0.32,671,No,0
23.0,34286.0,5225.0,14.84,0.15,601,No,1
25.0,99404.0,4050.0,9.99,0.04,623,Yes,0
27.0,29844.0,10000.0,13.23,0.34,558,No,1
22.0,58540.0,6500.0,10.62,0.11,647,Yes,0
22.0,16890.0,4750.0,11.01,0.28,645,No,1
36.0,36845.0,3000.0,10.38,0.08,710,No,0
25.0,66830.0,15000.0,7.06,0.22,625,Yes,0
27.0,91054.0,8500.0,17.19,0.09,589,No,0
24.0,90932.0,25000.0,11.83,0.27,528,Yes,0
30.0,61097.0,1875.0,8.0,0.03,629,Yes,0
26.0,103398.0,8000.0,6.03,0.08,596,Yes,0
25.0,37020.0,9000.0,7.51,0.24,560,No,0
29.0,91053.0,3000.0,9.45,0.03,482,Yes,0
23.0,67305.0,5000.0,13.61,0.07,612,Yes,0
25.0,85111.0,16000.0,12.18,0.19,572,Yes,0
47.0,35328.0,5000.0,5.42,0.14,670,No,0
35.0,67051.0,9000.0,10.25,0.13,576,Yes,0
28.0,59091.0,15000.0,12.99,0.25,593,No,1
33.0,48198.0,3000.0,7.37,0.06,634,No,0
24.0,64741.0,17502.0,6.55,0.27,644,No,1
27.0,37277.0,5000.0,11.01,0.13,635,Yes,0
23.0,55703.0,3000.0,11.49,0.05,668,No,0
32.0,65664.0,10000.0,12.8,0.15,728,No,0
37.0,42821.0,7000.0,16.77,0.16,680,No,1
24.0,160332.0,5000.0,11.01,0.03,554,Yes,0
25.0,56708.0,9750.0,10.0,0.17,586,Yes,0
30.0,73307.0,20000.0,6.17,0.27,693,No,0
24.0,90832.0,10000.0,6.62,0.11,599,Yes,0
33.0,61119.0,4000.0,11.01,0.07,670,No,1
23.0,98727.0,15000.0,10.0,0.15,666,No,0
22.0,145051.0,8900.0,11.71,0.06,642,Yes,0
20.0,78989.0,4800.0,9.99,0.06,678,No,0
23.0,50436.0,6000.0,8.15,0.12,692,Yes,0
25.0,32448.0,12235.0,11.48,0.38,552,No,1
21.0,32032.0,5200.0,12.53,0.16,668,No,0
34.0,85256.0,6000.0,11.89,0.07,625,Yes,0
24.0,126532.0,28000.0,15.62,0.22,615,No,0
32.0,25295.0,8000.0,8.49,0.32,637,No,1
22.0,65701.0,15000.0,11.99,0.23,597,Yes,0
30.0,205616.0,25000.0,13.01,0.12,553,Yes,0
25.0,144752.0,21000.0,13.49,0.15,606,No,0
22.0,76442.0,6400.0,8.49,0.08,586,Yes,0
40.0,164525.0,21000.0,9.99,0.13,612,Yes,0
40.0,242687.0,12450.0,12.23,0.05,692,No,0
22.0,40530.0,5000.0,14.61,0.12,484,No,1
23.0,73292.0,5000.0,6.03,0.07,725,Yes,0
23.0,16720.0,2457.0,12.89,0.15,636,No,1
47.0,78547.0,12000.0,5.42,0.15,597,Yes,0
28.0,65671.0,20000.0,7.9,0.3,674,No,1
25.0,118868.0,1000.0,11.14,0.01,613,No,0
22.0,31360.0,1000.0,11.48,0.03,609,No,1
24.0,29512.0,10000.0,9.32,0.34,502,No,1
28.0,224271.0,2500.0,7.4,0.01,626,Yes,0
39.0,169570.0,25000.0,15.06,0.15,633,No,1
22.0,52777.0,6650.0,10.37,0.13,558,Yes,0
24.0,38222.0,8000.0,7.51,0.21,639,Yes,0
27.0,58620.0,12000.0,11.71,0.2,674,Yes,0
41.0,132836.0,30000.0,9.91,0.23,624,Yes,0
26.0,48727.0,14000.0,10.37,0.29,616,No,1
23.0,93822.0,22000.0,13.23,0.23,558,No,1
37.0,130367.0,15032.0,12.62,0.12,629,No,1
30.0,29477.0,6000.0,8.94,0.2,632,Yes,0
21.0,60997.0,11975.0,11.01,0.2,601,Yes,0
31.0,120780.0,8800.0,10.0,0.07,678,No,0
31.0,123457.0,18000.0,10.2,0.15,565,Yes,0
36.0,41353.0,5500.0,12.29,0.13,699,Yes,0
22.0,61059.0,10000.0,9.32,0.16,620,Yes,0
35.0,80933.0,3300.0,7.88,0.04,642,No,0
29.0,85756.0,15000.0,13.47,0.17,583,No,1
29.0,126829.0,14000.0,10.35,0.11,673,Yes,0
23.0,91246.0,5000.0,11.04,0.05,670,Yes,0
29.0,60940.0,3575.0,11.49,0.06,676,Yes,0
62.0,75378.0,25000.0,13.43,0.33,666,No,1
25.0,66081.0,10000.0,16.89,0.15,638,No,1
22.0,24582.0,6495.0,10.99,0.26,462,No,1
23.0,29699.0,2800.0,11.49,0.09,638,No,1
25.0,123431.0,8000.0,12.42,0.06,627,Yes,0
27.0,76405.0,25000.0,12.79,0.33,474,Yes,0
23.0,56709.0,8400.0,16.89,0.15,623,No,1
25.0,49300.0,5000.0,12.99,0.1,537,Yes,0
24.0,57159.0,7000.0,5.87,0.12,615,Yes,0
31.0,48937.0,14519.0,10.8,0.3,647,No,1
26.0,49999.0,5600.0,16.41,0.11,633,No,0
39.0,330854.0,12000.0,8.49,0.04,687,Yes,0
28.0,102834.0,9000.0,11.01,0.09,661,Yes,0
30.0,72786.0,20000.0,6.17,0.27,477,Yes,0
27.0,52403.0,17500.0,7.29,0.33,623,No,0
28.0,63722.0,7000.0,16.26,0.11,626,Yes,0
27.0,106563.0,9000.0,6.91,0.08,580,Yes,0
26.0,96634.0,18000.0,5.79,0.19,662,Yes,0
23.0,73093.0,7200.0,11.01,0.1,611,No,0
22.0,43941.0,3000.0,10.37,0.07,618,No,1
22.0,77859.0,7000.0,9.03,0.09,646,Yes,0
29.0,106410.0,12000.0,12.53,0.11,643,Yes,0
23.0,121433.0,25000.0,17.14,0.21,574,Yes,0
25.0,181118.0,7500.0,8.9,0.04,634,No,0
23.0,120680.0,8000.0,7.37,0.07,573,Yes,0
23.0,83732.0,9537.0,15.24,0.11,643,No,1
23.0,144872.0,6000.0,6.99,0.04,634,Yes,0
28.0,30941.0,5000.0,7.51,0.16,578,Yes,0
26.0,52698.0,4302.0,12.17,0.08,689,No,1
29.0,30584.0,12262.0,9.59,0.4,605,No,1
30.0,205260.0,25000.0,15.2,0.12,699,Yes,0
41.0,67164.0,10000.0,9.46,0.15,704,Yes,0
24.0,22674.0,4500.0,8.94,0.2,639,No,1
29.0,109095.0,16163.0,12.48,0.15,595,Yes,0
32.0,78152.0,10000.0,12.69,0.13,639,No,0
28.0,73219.0,1500.0,11.01,0.02,681,Yes,0
27.0,83989.0,4969.0,13.69,0.06,605,Yes,0
30.0,135063.0,12000.0,11.01,0.09,633,Yes,0
28.0,15407.0,3244.0,10.44,0.21,627,No,1
28.0,295269.0,18000.0,17.39,0.06,615,Yes,0
29.0,211002.0,10000.0,11.01,0.05,635,Yes,0
22.0,87547.0,10800.0,6.91,0.12,593,No,0
25.0,72688.0,18500.0,13.8,0.25,619,Yes,0
24.0,31380.0,2032.0,11.94,0.06,666,Yes,0
28.0,52793.0,13405.0,11.89,0.25,645,No,1
26.0,42901.0,8000.0,5.42,0.19,673,Yes,0
26.0,55117.0,7750.0,12.53,0.14,630,Yes,0
37.0,66658.0,24385.0,10.4,0.37,694,No,0
24.0,47921.0,3000.0,14.61,0.06,681,No,1
33.0,71809.0,4075.0,13.41,0.06,692,No,1
30.0,73229.0,2500.0,12.69,0.03,582,Yes,0
22.0,93687.0,5875.0,6.17,0.06,636,No,0
23.0,47489.0,4000.0,12.72,0.08,588,Yes,0
21.0,22563.0,1500.0,12.18,0.07,665,No,1
23.0,31313.0,10000.0,11.83,0.32,603,No,1
34.0,115489.0,18600.0,13.57,0.16,712,No,0
31.0,46131.0,3900.0,11.01,0.08,705,Yes,0
24.0,71746.0,16000.0,16.39,0.22,561,No,1
34.0,122169.0,16000.0,6.17,0.13,636,No,0
29.0,60525.0,6500.0,8.5,0.11,668,No,0
42.0,95032.0,25000.0,10.36,0.26,604,No,0
25.0,23980.0,750.0,12.29,0.03,645,Yes,0
47.0,144056.0,14250.0,7.66,0.1,629,No,0
30.0,108434.0,18000.0,8.49,0.17,638,Yes,0
22.0,72972.0,3600.0,15.27,0.05,650,Yes,0
30.0,95783.0,6000.0,9.63,0.06,684,Yes,0
22.0,34723.0,5000.0,17.51,0.14,655,No,1
38.0,132929.0,16000.0,11.99,0.12,535,Yes,0
32.0,28446.0,10000.0,11.97,0.35,593,No,1
22.0,72881.0,12500.0,13.11,0.17,502,Yes,0
23.0,45324.0,1125.0,5.79,0.02,668,No,0
24.0,120811.0,12000.0,6.92,0.1,662,Yes,0
26.0,101711.0,3000.0,8.94,0.03,634,No,0
25.0,63913.0,18000.0,12.21,0.28,647,No,1
24.0,31033.0,5000.0,8.2,0.16,685,No,0
29.0,78407.0,15000.0,11.01,0.19,526,Yes,0
22.0,63084.0,18000.0,11.01,0.29,641,No,1
27.0,118419.0,10000.0,6.54,0.08,664,Yes,0
25.0,82508.0,8449.0,7.88,0.1,586,Yes,0
25.0,270972.0,25000.0,18.67,0.09,640,Yes,0
21.0,44117.0,1000.0,12.42,0.02,656,Yes,0
25.0,60469.0,2423.0,7.49,0.04,687,No,0
26.0,67074.0,6338.0,10.66,0.09,597,No,0
24.0,55772.0,3500.0,12.21,0.06,668,No,1
25.0,51170.0,8000.0,13.92,0.16,575,Yes,0
27.0,125553.0,12800.0,7.29,0.1,696,No,0
34.0,120609.0,9000.0,12.5,0.07,537,Yes,0
22.0,36808.0,3200.0,13.48,0.09,659,Yes,0
22.0,75108.0,9000.0,10.0,0.12,646,Yes,0
28.0,52644.0,12000.0,13.48,0.23,535,No,0
23.0,103124.0,7000.0,10.74,0.07,664,Yes,0
28.0,44469.0,18863.0,14.03,0.42,689,No,1
23.0,127227.0,20000.0,11.49,0.16,645,Yes,0
23.0,48938.0,12800.0,11.23,0.26,494,No,1
35.0,21157.0,3000.0,5.42,0.14,720,No,1
23.0,48826.0,12000.0,9.88,0.25,666,No,0
33.0,120882.0,20000.0,11.01,0.17,538,Yes,0
26.0,82507.0,24250.0,12.18,0.29,702,Yes,0
30.0,130739.0,10000.0,10.65,0.08,669,No,0
22.0,22615.0,3000.0,13.99,0.13,687,No,1
26.0,52810.0,9182.0,10.48,0.17,636,Yes,0
26.0,36750.0,5000.0,10.35,0.14,599,No,0
23.0,72964.0,17000.0,10.66,0.23,622,Yes,0
23.0,63670.0,6000.0,10.96,0.09,670,No,0
29.0,89806.0,12000.0,11.01,0.13,535,Yes,0
28.0,45277.0,3000.0,11.12,0.07,660,Yes,0
26.0,41680.0,10000.0,13.79,0.24,657,No,1
25.0,136746.0,25000.0,11.61,0.18,658,No,0
44.0,29677.0,7750.0,15.58,0.26,557,Yes,0
24.0,90885.0,8500.0,6.99,0.09,598,Yes,0
24.0,59576.0,2404.0,7.63,0.04,649,Yes,0
22.0,42149.0,18250.0,10.25,0.43,571,No,1
23.0,78953.0,8200.0,6.62,0.1,694,Yes,0
25.0,139158.0,7600.0,6.99,0.05,565,Yes,0
25.0,28622.0,6000.0,8.0,0.21,613,Yes,0
26.0,88292.0,10000.0,7.69,0.11,596,Yes,0
25.0,79330.0,8400.0,11.99,0.11,639,Yes,0
38.0,108927.0,14000.0,12.73,0.13,630,Yes,0
25.0,80159.0,18500.0,12.21,0.23,623,No,0
23.0,84982.0,20000.0,6.17,0.24,668,No,0
29.0,102938.0,35000.0,11.99,0.34,671,No,1
35.0,156985.0,4375.0,11.01,0.03,641,Yes,0
22.0,81701.0,23400.0,7.49,0.29,589,No,1
25.0,50539.0,5000.0,10.83,0.1,584,No,1
24.0,37068.0,3075.0,11.01,0.08,521,Yes,0
24.0,120899.0,12000.0,12.18,0.1,487,Yes,0
22.0,29723.0,7000.0,11.9,0.24,655,Yes,0
25.0,24430.0,1943.0,10.83,0.08,625,Yes,0
22.0,44093.0,10000.0,15.27,0.23,590,No,1
31.0,48195.0,12000.0,13.3,0.25,560,No,1
31.0,70605.0,14000.0,12.87,0.2,598,No,0
24.0,90938.0,25000.0,10.25,0.27,648,No,1
22.0,45411.0,10000.0,11.01,0.22,607,Yes,0
22.0,65692.0,5000.0,15.62,0.08,517,Yes,0
23.0,30504.0,1675.0,11.11,0.05,617,Yes,0
32.0,49279.0,7175.0,12.99,0.15,651,No,0
33.0,73307.0,6300.0,9.62,0.09,632,Yes,0
21.0,30619.0,8125.0,7.9,0.27,662,No,1
29.0,128951.0,15000.0,11.01,0.12,570,Yes,0
24.0,45381.0,6075.0,5.99,0.13,664,Yes,0
23.0,114686.0,12000.0,9.63,0.1,523,Yes,0
35.0,85030.0,20165.0,10.75,0.24,703,Yes,0
25.0,79334.0,4000.0,6.62,0.05,607,Yes,0
26.0,88638.0,12000.0,7.95,0.14,598,No,0
28.0,36581.0,10500.0,8.94,0.29,572,Yes,0
32.0,130513.0,7000.0,16.29,0.05,669,No,1
24.0,32438.0,6200.0,14.11,0.19,603,No,1
24.0,18294.0,6000.0,7.49,0.33,587,No,1
23.0,137613.0,5000.0,15.14,0.04,631,No,1
28.0,116319.0,5000.0,11.23,0.04,571,Yes,0
25.0,70087.0,6000.0,11.19,0.09,658,No,1
23.0,100010.0,5000.0,8.49,0.05,552,Yes,0
25.0,41647.0,3000.0,10.51,0.07,642,No,1
26.0,77821.0,16000.0,14.91,0.21,629,No,1
26.0,60799.0,5875.0,12.99,0.1,640,Yes,0
25.0,82055.0,7200.0,7.88,0.09,575,Yes,0
23.0,116359.0,20000.0,10.99,0.17,649,Yes,0
23.0,27334.0,9600.0,13.16,0.35,671,No,1
29.0,76415.0,10000.0,7.49,0.13,649,No,0
24.0,45012.0,3000.0,15.33,0.07,590,No,1
25.0,89980.0,12000.0,7.88,0.13,564,Yes,0
28.0,94616.0,13000.0,11.01,0.14,664,Yes,0
34.0,192605.0,11439.0,13.08,0.06,629,No,1
25.0,49247.0,12000.0,13.57,0.24,609,No,0
27.0,60540.0,8400.0,11.01,0.14,653,No,1
24.0,160500.0,4000.0,7.4,0.02,606,No,0
25.0,93471.0,16000.0,13.92,0.17,682,Yes,0
25.0,37020.0,4800.0,11.18,0.13,666,Yes,0
50.0,44399.0,6000.0,11.01,0.14,712,No,0
24.0,91293.0,2000.0,9.99,0.02,590,No,0
23.0,40901.0,9000.0,11.01,0.22,656,No,1
21.0,56319.0,5200.0,17.27,0.09,653,No,1
28.0,54832.0,7316.0,7.44,0.13,662,Yes,0
22.0,40329.0,1400.0,14.27,0.03,682,Yes,0
30.0,53624.0,13200.0,16.29,0.25,621,No,1
24.0,77660.0,13225.0,10.37,0.17,497,Yes,0
34.0,36304.0,3491.0,11.63,0.1,630,No,0
24.0,116035.0,10000.0,10.17,0.09,641,No,0
24.0,63972.0,7000.0,6.38,0.11,642,No,0
27.0,47673.0,5000.0,18.79,0.1,644,No,1
23.0,83939.0,8000.0,10.95,0.1,631,Yes,0
28.0,97102.0,6500.0,11.11,0.07,674,Yes,0
30.0,61112.0,6000.0,15.75,0.1,663,No,0
38.0,63903.0,6532.0,14.14,0.1,754,No,1
31.0,94689.0,14000.0,9.63,0.15,589,Yes,0
23.0,88386.0,14000.0,13.11,0.16,680,No,0
23.0,114764.0,10000.0,10.27,0.09,620,No,0
27.0,44011.0,4500.0,7.49,0.1,487,Yes,0
44.0,79300.0,25000.0,11.86,0.32,681,Yes,0
23.0,37112.0,2800.0,6.55,0.08,620,Yes,0
29.0,78701.0,10000.0,15.33,0.13,704,Yes,0
24.0,99641.0,15125.0,10.36,0.15,605,Yes,0
28.0,105336.0,6400.0,10.39,0.06,643,Yes,0
37.0,37133.0,8875.0,10.59,0.24,676,Yes,0
32.0,51206.0,2000.0,13.82,0.04,528,Yes,0
38.0,57605.0,11000.0,8.9,0.19,600,Yes,0
24.0,69484.0,2400.0,12.69,0.03,608,Yes,0
